Taxa	Isolate	Organism	Host	Date	Location	Group
OK017793.1	YN2020A	Sarbecovirus sp.	Rhinolophus affinis	Sep-2020	China: Yunnan	Other Sarbecovirus strains
OK017792.1	GD2017F	Sarbecovirus sp.	Rhinolophus affinis	Aug-2017	China: Guangdong	Other Sarbecovirus strains
OQ503506.1	B228	Severe acute respiratory syndrome-related coronavirus	Rhinolophus thomasi	03-Jul-2018	China	Other Sarbecovirus strains
OQ503505.1	162181	Severe acute respiratory syndrome-related coronavirus	Rhinolophus sinicus	13-Aug-2016	China	Other Sarbecovirus strains
OQ503502.1	6301	Severe acute respiratory syndrome-related coronavirus	Rhinolophus sinicus	07-May-2014	China	Other Sarbecovirus strains
OQ503501.1	4230	Severe acute respiratory syndrome-related coronavirus	Rhinolophus sinicus	17-Apr-2013	China	Other Sarbecovirus strains
OQ503500.1	4105	Severe acute respiratory syndrome-related coronavirus	Rhinolophus sinicus	18-Sep-2012	China	Other Sarbecovirus strains
OQ503499.1	RsHB190371	Severe acute respiratory syndrome-related coronavirus	Rhinolophus sinicus	19-Apr-2019	China	Other Sarbecovirus strains
OQ503497.1	151491	Severe acute respiratory syndrome-related coronavirus	Rhinolophus sinicus	29-Aug-2015	China	Other Sarbecovirus strains
OQ503496.1	141376	Severe acute respiratory syndrome-related coronavirus	Rhinolophus sinicus	02-Sep-2014	China	Other Sarbecovirus strains
OQ401249.1	2-GH106	Sarbecovirus sp. RfGB02	Rhinolophus ferrumequinum	2021-08-27	United Kingdom: Buckfastleigh	Other Sarbecovirus strains
OQ401248.1	2-30B	Sarbecovirus sp. RhGB07	Rhinolophus hipposideros	2020-10-05	United Kingdom	Other Sarbecovirus strains
OQ401247.1	1-GH087	Sarbecovirus sp. RfGB01	Rhinolophus ferrumequinum	2021-09-27	United Kingdom: Chudleigh	Other Sarbecovirus strains
OP776340.1	RhGB06	Sarbecovirus sp.	Rhinolophus hipposideros	30-Aug-2021	United Kingdom	Other Sarbecovirus strains
OP776339.1	RhGB05	Sarbecovirus sp.	Rhinolophus hipposideros	10-Sep-2021	United Kingdom	Other Sarbecovirus strains
OP776338.1	RhGB02	Sarbecovirus sp.	Rhinolophus hipposideros	24-Jun-2021	United Kingdom	Other Sarbecovirus strains
LC663793.1		Sarbecovirus sp.	Rhinolophus cornutus	2020-09	Japan: Shizuoka	Other Sarbecovirus strains
OK287355.1	BetaCoV_Yunnan_Rp_JCC9_2020	Sarbecovirus sp.	Rhinolophus blythi	Mar-2020	China	Other Sarbecovirus strains
OK287354.1	BetaCoV_Yunnan_Rs_KMC6_2020	Sarbecovirus sp.	Rhinolophus sinicus	Oct-2020	China	Other Sarbecovirus strains
MT726045.1	PREDICT/PRD-0038/AABSMF	Sarbecovirus sp.	Rhinolophus sp. (bat)	27-Sep-2011	Rwanda	Other Sarbecovirus strains
MT726043.1	PREDICT/PDF-2386/OTBA40RSV	Sarbecovirus sp.	Rhinolophus sp. (bat)	30-May-2013	Uganda	Other Sarbecovirus strains
ON378802.1	BatCoV_B20-50	Severe acute respiratory syndrome-related coronavirus	Rhinolophus ferrumequinum	20-Mar-2020	South Korea	Other Sarbecovirus strains
MG772934.1	bat-SL-CoVZXC21	Bat SARS-like coronavirus	Rhinolophus pusillus	Jul-2015	China	Other Sarbecovirus strains
MG772933.1	bat-SL-CoVZC45	Bat SARS-like coronavirus	Rhinolophus pusillus	Feb-2017	China	Other Sarbecovirus strains
MW681002.1	Rs56	Severe acute respiratory syndrome-related coronavirus	Rhinolophus sinicus	29-Apr-2020	China	Other Sarbecovirus strains
NC_014470.1		Bat coronavirus BM48-31/BGR/2008	Rhinolophus blasii	2008	Bulgaria	Other Sarbecovirus strains
OL674081.1	Rs7952	Severe acute respiratory syndrome-related coronavirus	Rhinolophus stheno	2015-05-29	"China: Yunnan, Puer"	Other Sarbecovirus strains
OL674077.1	Ra7909	Severe acute respiratory syndrome-related coronavirus	Rhinolophus affinis	2015-05-29	"China: Yunnan, Puer"	Other Sarbecovirus strains
MW703458.1	PrC31	Sarbecovirus sp.	Rhinolophus blythi	Aug-2018	China	Other Sarbecovirus strains
KY938558.1		Sarbecovirus sp.	Rhinolophus ferrumequinum (horseshoe bat)	17-Apr-2016	South Korea: abandoned mine	Other Sarbecovirus strains
KY770860.1	Jiyuan-84	Sarbecovirus sp.	Rhinolophus ferrumequinum	2012	China	Other Sarbecovirus strains
